Job #,Job title,Company name,Site,Experience,Skills,Published in
32,Enterprise Data Warehouse and Business intelligence Engineer (Microsoft Technology SSIS-SSAS),"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt",N/A,"BI, Business Intelligence, Data Warehousing, Power BI, SSAS, SSIS, Computer Science, Data Analysis, Engineering",N/A
33,MLOps + AI Engineer,Confidential -,"Cairo, Egypt",7 - 8 Yrs of Exp,"Git, Azure DevOps, Azure Pipelines, DVC, Azure ML, SonarQube, pytest, Grafana, Docker",N/A
34,Backend Developer,Confidential -,"Cairo, Egypt",4 - 6 Yrs of Exp,"APIs, Computer Science, back-end, Git, Information Technology (IT), Laravel, Software Development, Software Engineering",N/A
35,AI Engineering Manager,Link Development -,"Cairo, Egypt",N/A,"Computer Science, BI, Software Engineering, SQL, Software Development, Power BI, SSRS",N/A
36,Senior Cost Accountant (Manufacturing Industry),Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt",4 - 6 Yrs of Exp,"Accounting, analytical, Communication, Cost Accounting, ERP System, Finance, Financial Management, Cost, ERP",N/A
37,Software Development Manager,Confidential -,"6th of October, Giza, Egypt",N/A,"Azure, Computer Science, developer, Engineering, ERP System, Information Technology (IT), ERP",N/A
38,Pavement Assessment Engineer,Citylogix ME   -,"New Cairo, Cairo, Egypt",N/A,"Engineering, Communication, Pavement, Roads, English, quality",N/A
39,Senior AI Engineer,Link Development -,"Cairo, Egypt",2 - 5 Yrs of Exp,"Computer Science, BI, Software Engineering, SQL, Software Development, Power BI, SSRS, SQL Server",N/A
40,Gaming Attendant - Elizabeth Tavern,Endeavour Group -,"Riyadh, Saudi Arabia",N/A,"education, teaching, english, marketing, gaming, communication, development",N/A
41,Senior GIS Technician,Citylogix ME   -,"New Cairo, Cairo, Egypt",5 - 10 Yrs of Exp,"Arc GIS, GIS, QGIS",N/A
42,Annotation Specialist,Abwab.ai -,"Cairo, Egypt",N/A,"Time Management, Communication, Analytical & Attention to Detail, Adaptability",N/A
43,Production Internship - Alexandria,Prometeon tyres group – Egypt -,"Ameria, Alexandria, Egypt",N/A,"Science, Production, Mechanical Engineering, Engineering, Chemistry, Media Production, quality",N/A
44,Data Engineer Team Lead,COB Solution  -,"Maadi, Cairo, Egypt",N/A,"Computer Science, Engineering, Data, Information Technology (IT), Software, Computer Engineering, AWS, Azure, Java",N/A
45,Production Chemist,Intertrade Co.  -,"10th of Ramadan City, Sharqia, Egypt",2 - 4 Yrs of Exp,"Chemistry, quality, Communication skills, Microsoft Excel, Science, Testing, Engineering",N/A
46,Senior Full Stack Developer,Helios Towers -,"Dubai, United Arab Emirates",10+ Yrs of Exp,"Information Technology (IT), Computer Science, Software Development, javaScript, CSS, HTML, Full Stack",8 days ago
47,Tailor,Miraval Resorts & Spas -,"Riyadh, Saudi Arabia",5 - 10 Yrs of Exp,"sales, sales skills, customer service, sales target, english, management, training",N/A
48,Credit Analyst,Tamara -,"Riyadh, Saudi Arabia",2 - 5 Yrs of Exp,"Finance, Accounting, Financial Analysis, Credit, Analysis, Banking, Credit Analysis",13 hours ago
49,Data Science Intern,Mozn -,"Riyadh, Saudi Arabia",N/A,"Administration, Data Entry, Microsoft Office, Data Science, Information Technology (IT), Computer Science, Science",N/A
50,Junior Ads Specialist,Canonical -,"Riyadh, Saudi Arabia",N/A,"Marketing, Social Media, E-marketing, Microsoft Office, Digital Marketing, Media, Market Research",N/A
51,"Linux System Engineer - QA, Tooling, Automation",Canonical -,"Riyadh, Saudi Arabia",N/A,"Information Technology (IT), Computer Science, Engineering, Linux, Computer Engineering, System Administration, Installation",N/A
52,Part-time Search Analyst Saudi Arabia,TELUS Digital AI Data Solutions -,"Riyadh, Saudi Arabia",N/A,"computer science, information technology (it), engineering, sql, analyst, content, media",N/A
53,Front Desk Agent,Hyde Johannesburg Rosebank -,"Riyadh, Saudi Arabia",N/A,"Administration, Office Management, Front Desk, Microsoft Office, Admin, Customer Service, Secretary",N/A
54,Part time Search Analyst Saudi Arabia,TELUS Digital -,"Riyadh, Saudi Arabia",N/A,"computer science, information technology (it), engineering, sql, analyst, content, media",N/A
55,Part time Search Analyst Saudi Arabia,TELUS Digital AI Data Solutions -,"Riyadh, Saudi Arabia",N/A,"computer science, information technology (it), engineering, sql, analyst, content, media",N/A
56,Media Search Analyst - Arabic,TELUS Digital AI Data Solutions -,"Riyadh, Saudi Arabia",N/A,"Research, Social Media, Media, Analysis, Marketing, Writing, E-marketing",N/A
